nodenumber     x-coordinate     y-coordinate     z-coordinate
         1   -1.9571916060E-02   -2.9433805580E-03    1.1975080421E-01
         2   -1.9568176850E-02   -1.9448461615E-03    1.1936331455E-01
         3   -1.9561199235E-02   -1.6468826352E-03    1.1948976694E-01
         4   -1.9294468163E-02   -5.4250248290E-04    1.1945710482E-01
         5   -1.9181231247E-02   -3.2902712499E-03    1.1912890938E-01
         6   -1.9101504738E-02   -8.2500862245E-04    1.1897989541E-01
         7   -1.9002577153E-02   -4.9438872563E-03    1.2057767906E-01
         8   -1.8722258576E-02   -5.2266273465E-03    1.2066522786E-01
         9   -1.8613139309E-02   -3.1298596909E-03    1.2064721586E-01
        10   -1.8604021938E-02   -3.7438329908E-03    1.1856778919E-01
        11   -1.8571559452E-02   -3.0517662761E-03    1.2066810217E-01
        12   -1.8569135023E-02   -4.3540718389E-03    1.1907793389E-01
        13   -1.8443092644E-02   -2.8460334260E-04    1.1840543102E-01
        14   -1.8435071398E-02   -4.5609146284E-03    1.1912615129E-01
        15   -1.8424979917E-02   -5.1884158838E-03    1.2009933194E-01
        16   -1.8391280198E-02   -5.0796168799E-03    1.1984565952E-01
        17   -1.8390116393E-02    5.7316088166E-04    1.1937420805E-01
        18   -1.8373457014E-02   -3.1770039352E-03    1.1788632731E-01
        19   -1.8362352155E-02   -2.0196508024E-03    1.1758094311E-01
        20   -1.8323377505E-02   -2.0075546334E-03    1.1752515638E-01
        21   -1.8232321419E-02    1.9865282268E-05    1.2033034993E-01
        22   -1.8230485391E-02   -4.9097735778E-03    1.1932067169E-01
        23   -1.8195648047E-02   -4.4248353852E-03    1.1861123743E-01
        24   -1.8134467787E-02   -4.7757423561E-03    1.1897423556E-01
        25   -1.8130917472E-02   -4.9765430984E-03    1.2146395940E-01
        26   -1.8107346580E-02   -5.7439480679E-03    1.2102550676E-01
        27   -1.7964653732E-02    1.2415903066E-04    1.1813985588E-01
        28   -1.7953847717E-02   -4.6777865691E-03    1.1857736354E-01
