nodenumber     x-coordinate     y-coordinate     z-coordinate
         1    1.6724081813E-02   -1.7837181326E-01    1.1241682437E+00
         2    1.6726269284E-02   -1.7829025065E-01    1.1240240530E+00
         3    1.6728398785E-02   -1.7829790628E-01    1.1243092230E+00
         4    1.6728922956E-02   -1.7826820602E-01    1.1240075420E+00
         5    1.6730256407E-02   -1.7822882968E-01    1.1242520109E+00
         6    1.6744573296E-02   -1.7805362574E-01    1.1241140682E+00
         7    1.6745471465E-02   -1.7845050575E-01    1.1244983081E+00
         8    1.6750243157E-02   -1.7870361375E-01    1.1242453054E+00
         9    1.6751168797E-02   -1.7854297974E-01    1.1238650391E+00
        10    1.6759243507E-02   -1.7803659459E-01    1.1244769388E+00
        11    1.6760690263E-02   -1.7799367120E-01    1.1243986225E+00
        12    1.6764996071E-02   -1.7854038084E-01    1.1237750841E+00
        13    1.6768878883E-02   -1.7849780122E-01    1.1247053987E+00
        14    1.6769167292E-02   -1.7825277131E-01    1.1247353186E+00
        15    1.6769899944E-02   -1.7790032199E-01    1.1240061520E+00
        16    1.6777131943E-02   -1.7834852823E-01    1.1248292349E+00
        17    1.6778542597E-02   -1.7888284890E-01    1.1240595059E+00
        18    1.6779051375E-02   -1.7849564919E-01    1.1236586914E+00
        19    1.6787235390E-02   -1.7786451942E-01    1.1245090110E+00
        20    1.6791406908E-02   -1.7816298581E-01    1.1248956544E+00
        21    1.6792198560E-02   -1.7802361074E-01    1.1248335942E+00
        22    1.6793439409E-02   -1.7809736211E-01    1.1235270271E+00
        23    1.6799228414E-02   -1.7785330533E-01    1.1246509737E+00
        24    1.6799500788E-02   -1.7827084438E-01    1.1234949859E+00
        25    1.6799929828E-02   -1.7841438335E-01    1.1250043327E+00
        26    1.6802345093E-02   -1.7845308441E-01    1.1250128652E+00
        27    1.6807254757E-02   -1.7903151776E-01    1.1241577987E+00
        28    1.6810868569E-02   -1.7778979946E-01    1.1237706834E+00
        29    1.6810912403E-02   -1.7813374776E-01    1.1250441578E+00
        30    1.6812279934E-02   -1.7771404312E-01    1.1243249667E+00
        31    1.6812820618E-02   -1.7856325219E-01    1.1235264704E+00
        32    1.6813715656E-02   -1.7774538598E-01    1.1245104082E+00
        33    1.6813855055E-02   -1.7904749961E-01    1.1240542589E+00
        34    1.6817351472E-02   -1.7871452048E-01    1.1235954023E+00
        35    1.6818182269E-02   -1.7857492727E-01    1.1250957658E+00
        36    1.6818401775E-02   -1.7846967050E-01    1.1251398722E+00
        37    1.6820522649E-02   -1.7766389093E-01    1.1241950049E+00
        38    1.6821615311E-02   -1.7784901992E-01    1.1248835720E+00
        39    1.6825482486E-02   -1.7875567210E-01    1.1250255672E+00
        40    1.6825832375E-02   -1.7766500689E-01    1.1243984055E+00
        41    1.6827635607E-02   -1.7909114974E-01    1.1244713641E+00
        42    1.6830198178E-02   -1.7791271896E-01    1.1250260609E+00
        43    1.6833285552E-02   -1.7888006026E-01    1.1236527982E+00
