nodenumber     x-coordinate     y-coordinate     z-coordinate
         1    2.5204105351E-02   -1.5645167468E-01    2.9642718631E-02
         2    2.5245555953E-02   -1.5658470696E-01    2.9606645539E-02
         3    2.5258093539E-02   -1.5648044027E-01    2.9547698083E-02
         4    2.5273087399E-02   -1.5629598745E-01    2.9791776081E-02
         5    2.5283719888E-02   -1.5647456446E-01    2.9506506857E-02
         6    2.5304597988E-02   -1.5644945276E-01    2.9478717717E-02
         7    2.5308088381E-02   -1.5647315586E-01    2.9463168375E-02
         8    2.5308720228E-02   -1.5599051916E-01    2.9834286139E-02
         9    2.5309056108E-02   -1.5701395633E-01    2.9410962145E-02
        10    2.5350992101E-02   -1.5673060580E-01    2.9621621398E-02
        11    2.5383203837E-02   -1.5643867673E-01    2.9812795624E-02
        12    2.5384894414E-02   -1.5666525070E-01    2.9688696753E-02
        13    2.5421118826E-02   -1.5672191183E-01    2.9690218820E-02
        14    2.5434014740E-02   -1.5709993209E-01    2.9492325468E-02
        15    2.5436828986E-02   -1.5646405344E-01    2.9847493534E-02
        16    2.5449374495E-02   -1.5568614942E-01    3.0290274845E-02
        17    2.5449953445E-02   -1.5667339913E-01    2.9217808517E-02
        18    2.5456125288E-02   -1.5572134563E-01    2.9851150243E-02
        19    2.5478524859E-02   -1.5574464622E-01    2.9658334828E-02
        20    2.5483781450E-02   -1.5565476128E-01    3.0338972310E-02
        21    2.5490866200E-02   -1.5564153149E-01    2.9991450593E-02
        22    2.5512158526E-02   -1.5665188304E-01    2.9125306260E-02
        23    2.5514521977E-02   -1.5597268504E-01    3.0190634012E-02
        24    2.5535042047E-02   -1.5684768035E-01    2.9724085206E-02
        25    2.5535558855E-02   -1.5613762982E-01    3.0118300868E-02
        26    2.5539054095E-02   -1.5610928609E-01    3.0137196802E-02
        27    2.5539084650E-02   -1.5556408835E-01    3.0272802446E-02
        28    2.5580789684E-02   -1.5637853710E-01    2.8996826829E-02
        29    2.5586503525E-02   -1.5551474741E-01    3.0211572969E-02
        30    2.5597887011E-02   -1.5612177390E-01    3.0183776714E-02
        31    2.5605435912E-02   -1.5708880565E-01    2.9115512936E-02
        32    2.5606791621E-02   -1.5625706100E-01    3.0116850048E-02
        33    2.5608816192E-02   -1.5633091014E-01    2.8946846239E-02
        34    2.5623972539E-02   -1.5562757712E-01    3.0481543654E-02
        35    2.5628670683E-02   -1.5659116405E-01    2.9951478093E-02
        36    2.5632829278E-02   -1.5572146548E-01    2.9077108399E-02
        37    2.5636326524E-02   -1.5605675854E-01    3.0254784976E-02
        38    2.5637591628E-02   -1.5618416087E-01    2.8899894041E-02
        39    2.5642781498E-02   -1.5569677090E-01    2.9067262818E-02
        40    2.5652013486E-02   -1.5755319373E-01    2.9439238145E-02
        41    2.5657941772E-02   -1.5680592455E-01    2.9859008679E-02
        42    2.5658226107E-02   -1.5755936385E-01    2.9441466434E-02
        43    2.5679040247E-02   -1.5599773814E-01    2.8839849492E-02
        44    2.5680639452E-02   -1.5669435214E-01    2.8904996436E-02
        45    2.5681711663E-02   -1.5680152551E-01    2.8937936890E-02
        46    2.5682323552E-02   -1.5737301526E-01    2.9158660096E-02
        47    2.5693364053E-02   -1.5765239846E-01    2.9280934892E-02
        48    2.5702773075E-02   -1.5667831348E-01    2.8870621273E-02
        49    2.5709183430E-02   -1.5549678110E-01    2.9050233353E-02
        50    2.5723620369E-02   -1.5531434658E-01    2.9581097766E-02
        51    2.5728457380E-02   -1.5663150799E-01    2.8822874609E-02
        52    2.5735409763E-02   -1.5643701400E-01    2.8761319204E-02
        53    2.5739891423E-02   -1.5622844328E-01    3.0253768358E-02
        54    2.5746839278E-02   -1.5679294004E-01    2.9947052380E-02
        55    2.5757697009E-02   -1.5621955876E-01    2.8696171647E-02
        56    2.5757751410E-02   -1.5571567511E-01    2.8743228412E-02
        57    2.5761296695E-02   -1.5684711430E-01    2.9930161839E-02
        58    2.5768846349E-02   -1.5657943016E-01    3.0085465460E-02
        59    2.5794194943E-02   -1.5551355646E-01    3.0699574866E-02
        60    2.5794355958E-02   -1.5589789835E-01    2.8624453068E-02
        61    2.5795411496E-02   -1.5551073278E-01    2.8756287548E-02
        62    2.5796499098E-02   -1.5519830438E-01    2.9545917805E-02
        63    2.5825293218E-02   -1.5768506480E-01    2.9523698221E-02
        64    2.5836565805E-02   -1.5572755471E-01    2.8570073409E-02
        65    2.5852492348E-02   -1.5719709094E-01    2.8937588958E-02
        66    2.5856915670E-02   -1.5756631052E-01    2.9618306763E-02
        67    2.5867078385E-02   -1.5640211873E-01    2.8570135247E-02
        68    2.5872649793E-02   -1.5769077038E-01    2.9563598442E-02
        69    2.5878345102E-02   -1.5514531433E-01    2.9880590426E-02
        70    2.5886796792E-02   -1.5541391085E-01    3.0785053948E-02
        71    2.5887009268E-02   -1.5525409768E-01    3.0281411894E-02
        72    2.5892276304E-02   -1.5629594417E-01    2.8508307137E-02
        73    2.5898001902E-02   -1.5767545239E-01    2.9189936854E-02
        74    2.5904443614E-02   -1.5503022675E-01    2.9214076035E-02
        75    2.5910017809E-02   -1.5735207647E-01    2.8980618940E-02
        76    2.5918629606E-02   -1.5506242986E-01    2.9737147113E-02
        77    2.5923458458E-02   -1.5693742615E-01    3.0027556632E-02
        78    2.5924344466E-02   -1.5629529596E-01    3.0384444451E-02
        79    2.5944584466E-02   -1.5765894597E-01    2.9155407597E-02
        80    2.5957641630E-02   -1.5582852993E-01    2.8336049360E-02
        81    2.5958330297E-02   -1.5701370487E-01    3.0016973667E-02
        82    2.5960680521E-02   -1.5545801666E-01    2.8379870412E-02
        83    2.5990161091E-02   -1.5529241731E-01    3.0573196271E-02
        84    2.6006151997E-02   -1.5487565315E-01    2.9287475427E-02
        85    2.6011218578E-02   -1.5683588047E-01    2.8589143339E-02
        86    2.6029902571E-02   -1.5491755041E-01    2.9668961158E-02
        87    2.6030603819E-02   -1.5795096613E-01    2.9562964714E-02
        88    2.6036105779E-02   -1.5517040597E-01    2.8357084150E-02
        89    2.6051571838E-02   -1.5586175988E-01    2.8186535168E-02
        90    2.6052605659E-02   -1.5480539616E-01    2.9017958022E-02
        91    2.6061887540E-02   -1.5479598010E-01    2.9268463121E-02
        92    2.6080653533E-02   -1.5475987552E-01    2.9134928069E-02
        93    2.6081156680E-02   -1.5798438404E-01    2.9366562843E-02
        94    2.6082960595E-02   -1.5496251544E-01    2.8435228293E-02
        95    2.6083013844E-02   -1.5562083367E-01    2.8119407217E-02
        96    2.6086314871E-02   -1.5735552803E-01    2.8862538346E-02
        97    2.6096214042E-02   -1.5518829700E-01    3.0473184864E-02
        98    2.6109579574E-02   -1.5685004283E-01    2.8503762848E-02
        99    2.6112659660E-02   -1.5531134053E-01    3.0747508290E-02
       100    2.6113592408E-02   -1.5506222426E-01    3.0230914145E-02
       101    2.6115881920E-02   -1.5489804719E-01    2.9855097211E-02
       102    2.6117145583E-02   -1.5795938122E-01    2.9637005481E-02
       103    2.6136803804E-02   -1.5702055977E-01    3.0175485867E-02
       104    2.6144540565E-02   -1.5783713037E-01    2.9729708888E-02
       105    2.6158056458E-02   -1.5645685991E-01    2.8238418734E-02
       106    2.6159849882E-02   -1.5488485466E-01    2.8301875185E-02
       107    2.6160298844E-02   -1.5464455820E-01    2.9115684947E-02
       108    2.6169322702E-02   -1.5470501401E-01    2.8554488857E-02
       109    2.6171876871E-02   -1.5572581013E-01    3.0925354195E-02
       110    2.6183394529E-02   -1.5635899105E-01    2.8161225644E-02
       111    2.6183460728E-02   -1.5581718647E-01    2.7979359990E-02
       112    2.6185121173E-02   -1.5567969936E-01    2.7955148076E-02
       113    2.6187077332E-02   -1.5664735362E-01    2.8309531878E-02
       114    2.6191330962E-02   -1.5476887461E-01    2.8356797081E-02
       115    2.6191791569E-02   -1.5542857541E-01    3.1064015412E-02
       116    2.6192950143E-02   -1.5489505351E-01    2.8199347470E-02
       117    2.6196963833E-02   -1.5467252684E-01    2.9463884182E-02
       118    2.6225135111E-02   -1.5458150140E-01    2.9242405122E-02
       119    2.6229966598E-02   -1.5741377918E-01    3.0042162609E-02
       120    2.6235379180E-02   -1.5496705870E-01    3.0198617567E-02
       121    2.6236011579E-02   -1.5483109838E-01    2.9934493009E-02
       122    2.6238162030E-02   -1.5577227832E-01    2.7892072469E-02
       123    2.6250345556E-02   -1.5542073088E-01    2.7843676676E-02
       124    2.6257303382E-02   -1.5651161795E-01    2.8161997812E-02
       125    2.6265124370E-02   -1.5704985816E-01    2.8513740101E-02
       126    2.6277608624E-02   -1.5496626231E-01    3.0244537891E-02
       127    2.6282730037E-02   -1.5744578732E-01    3.0072396613E-02
       128    2.6287027940E-02   -1.5688545593E-01    3.0387016777E-02
       129    2.6288404147E-02   -1.5735292065E-01    3.0129056541E-02
       130    2.6293240482E-02   -1.5611105573E-01    3.0822097513E-02
       131    2.6305200614E-02   -1.5767839402E-01    2.9021992608E-02
       132    2.6311200350E-02   -1.5811456913E-01    2.9482296255E-02
       133    2.6313529402E-02   -1.5511652745E-01    2.7788807567E-02
       134    2.6315999360E-02   -1.5449444858E-01    2.9293524005E-02
       135    2.6326817302E-02   -1.5758496949E-01    2.8924831757E-02
       136    2.6328449894E-02   -1.5755800535E-01    3.0051744693E-02
       137    2.6330684449E-02   -1.5602692266E-01    3.0902808446E-02
       138    2.6336722823E-02   -1.5442465178E-01    2.9128040668E-02
       139    2.6345137573E-02   -1.5442207811E-01    2.9159425181E-02
       140    2.6352161087E-02   -1.5548281585E-01    3.1198999393E-02
       141    2.6363766238E-02   -1.5485877123E-01    2.7815804831E-02
       142    2.6368517768E-02   -1.5744240926E-01    2.8774400449E-02
       143    2.6372294205E-02   -1.5791232323E-01    2.9895143970E-02
       144    2.6372504310E-02   -1.5676063685E-01    2.8211255530E-02
       145    2.6374409342E-02   -1.5447992113E-01    2.8215450904E-02
       146    2.6375155416E-02   -1.5794724297E-01    2.9878382075E-02
       147    2.6388027121E-02   -1.5700151869E-01    3.0414516095E-02
       148    2.6390690139E-02   -1.5455259575E-01    2.8051990864E-02
       149    2.6410607423E-02   -1.5536472700E-01    2.7582807083E-02
       150    2.6410966152E-02   -1.5499119155E-01    2.7647522146E-02
       151    2.6411690617E-02   -1.5488847201E-01    3.0229360993E-02
       152    2.6419963473E-02   -1.5666794646E-01    2.8105893726E-02
       153    2.6429397461E-02   -1.5467433565E-01    2.9891478167E-02
       154    2.6435167187E-02   -1.5427611471E-01    2.8527274754E-02
       155    2.6436484026E-02   -1.5496094452E-01    2.7612382829E-02
       156    2.6442073490E-02   -1.5449976250E-01    2.9573507697E-02
       157    2.6442244176E-02   -1.5456158969E-01    2.9699013899E-02
       158    2.6448689020E-02   -1.5788749311E-01    2.9215144666E-02
