nodenumber     x-coordinate     y-coordinate     z-coordinate
         1    1.0175423464E-03    7.6331984965E-03    4.8175456265E-02
         2    1.0261445917E-03    7.3081585201E-03    4.8656536018E-02
         3    1.0273552197E-03    7.3034899976E-03    4.8499439417E-02
         4    1.0315964300E-03    7.2776135646E-03    4.8790342597E-02
         5    1.0338552774E-03    7.6055820153E-03    4.8767662653E-02
         6    1.0363689151E-03    7.4058623278E-03    4.8185618232E-02
         7    1.0391730219E-03    7.1803454279E-03    4.8736694358E-02
         8    1.0415557805E-03    7.9062057195E-03    4.7821109464E-02
         9    1.0455511502E-03    7.3523149008E-03    4.8186818056E-02
        10    1.0465061277E-03    7.7186786208E-03    4.7818040981E-02
        11    1.0495642170E-03    8.0065467766E-03    4.7733196844E-02
        12    1.0556511948E-03    8.1682980244E-03    4.8082722009E-02
        13    1.0566807151E-03    7.5144960974E-03    4.9027135792E-02
        14    1.0595186712E-03    7.1487994463E-03    4.8423600886E-02
        15    1.0625409919E-03    7.0910858974E-03    4.8520724024E-02
        16    1.0631027407E-03    7.1411035119E-03    4.8410768015E-02
        17    1.0696435074E-03    6.9718629327E-03    4.8915093676E-02
        18    1.0698142415E-03    7.8953171245E-03    4.8730818486E-02
        19    1.0705097057E-03    7.8287994471E-03    4.8801306300E-02
        20    1.0735944191E-03    6.9986822360E-03    4.9176963603E-02
        21    1.0743871573E-03    7.4487631691E-03    4.9200945701E-02
        22    1.0762597024E-03    7.8751089233E-03    4.8793642072E-02
        23    1.0799291974E-03    8.2067777936E-03    4.7457520094E-02
        24    1.0818705443E-03    6.9290451730E-03    4.8787903021E-02
        25    1.0870865532E-03    8.1890902310E-03    4.8390027047E-02
        26    1.0891808368E-03    7.1514366869E-03    4.9447818969E-02
        27    1.0924385825E-03    7.0176708128E-03    4.8431540580E-02
        28    1.0939755174E-03    8.3811966981E-03    4.7462267581E-02
        29    1.0976470188E-03    8.3024363751E-03    4.7320958721E-02
        30    1.0977693377E-03    7.2222014930E-03    4.8039350401E-02
        31    1.0983154353E-03    6.8610600486E-03    4.9338525846E-02
        32    1.1003952663E-03    7.3251590662E-03    4.7889527742E-02
        33    1.1023933706E-03    8.2325952291E-03    4.8426197240E-02
        34    1.1031445125E-03    6.7874223691E-03    4.9102489426E-02
        35    1.1058946398E-03    8.0316637347E-03    4.8765726666E-02
        36    1.1060488712E-03    6.8227132587E-03    4.9499604770E-02
        37    1.1088151664E-03    6.7537833449E-03    4.9206224220E-02
        38    1.1103769357E-03    7.0272076716E-03    4.9643755224E-02
        39    1.1113126777E-03    7.2808695079E-03    4.7901553315E-02
