nodenumber     x-coordinate     y-coordinate     z-coordinate
         1   -4.2064624527E-02   -1.8684962098E-02    1.3016054752E-01
         2   -4.1880551021E-02   -1.7908651943E-02    1.3006558898E-01
         3   -4.1818500180E-02   -1.8070565459E-02    1.3023336687E-01
         4   -4.1686758610E-02   -1.9023551743E-02    1.2945363208E-01
         5   -4.1651085192E-02   -1.9971020618E-02    1.2993313608E-01
         6   -4.1634353774E-02   -1.9734429688E-02    1.3052521178E-01
         7   -4.1436442131E-02   -1.8074700442E-02    1.2924886694E-01
         8   -4.1412079241E-02   -1.6902950473E-02    1.3033649359E-01
         9   -4.1292971835E-02   -1.8168851316E-02    1.2896254774E-01
        10   -4.1234027971E-02   -2.0302302260E-02    1.2960805683E-01
        11   -4.1233350627E-02   -1.7096200436E-02    1.2952287460E-01
        12   -4.1151476337E-02   -1.7639935108E-02    1.2902508111E-01
        13   -4.1136626147E-02   -1.9630583918E-02    1.3079974071E-01
        14   -4.0873686342E-02   -1.5759965525E-02    1.3015729161E-01
        15   -4.0847819659E-02   -1.9903044285E-02    1.2829214271E-01
        16   -4.0774916201E-02   -1.9972566806E-02    1.2822117064E-01
        17   -4.0731953866E-02   -1.5498906479E-02    1.3057054580E-01
        18   -4.0727438291E-02   -2.0909312198E-02    1.2998123394E-01
        19   -4.0657764217E-02   -1.5956989809E-02    1.3066439595E-01
        20   -4.0610576667E-02   -2.0608857745E-02    1.2889477816E-01
        21   -4.0487329746E-02   -2.0729472458E-02    1.2887545359E-01
        22   -4.0386630271E-02   -1.9591156217E-02    1.3122649673E-01
        23   -4.0382292112E-02   -2.1149560637E-02    1.2995261053E-01
        24   -4.0319842538E-02   -2.0793985084E-02    1.2864881525E-01
        25   -4.0316497944E-02   -1.6209325562E-02    1.2884695065E-01
        26   -4.0249110549E-02   -1.5767542834E-02    1.2918475204E-01
        27   -4.0193696680E-02   -1.5712292301E-02    1.2915440512E-01
        28   -4.0165999234E-02   -1.8782977169E-02    1.3126299313E-01
        29   -4.0027503944E-02   -1.8101061942E-02    1.2693537777E-01
        30   -4.0010878761E-02   -2.0593058999E-02    1.2758583948E-01
        31   -3.9993239008E-02   -2.1611811721E-02    1.3167851998E-01
        32   -3.9907410300E-02   -2.1617682812E-02    1.3172851640E-01
        33   -3.9860503363E-02   -1.3565948164E-02    1.3081412475E-01
        34   -3.9828194534E-02   -1.6852013601E-02    1.2749100320E-01
        35   -3.9687178582E-02   -2.1455996602E-02    1.2949474821E-01
        36   -3.9677861480E-02   -1.3905922492E-02    1.3017876996E-01
        37   -3.9513967127E-02   -1.9218341078E-02    1.3168650533E-01
        38   -3.9507004027E-02   -1.5656192376E-02    1.3129232912E-01
        39   -3.9505436506E-02   -1.3342673481E-02    1.3050146411E-01
        40   -3.9484056408E-02   -1.3037516556E-02    1.3078698189E-01
        41   -3.9436414842E-02   -1.5544274878E-02    1.2815247933E-01
        42   -3.9428111918E-02   -1.3274348772E-02    1.3045392930E-01
        43   -3.9361032898E-02   -1.8397868566E-02    1.2568329743E-01
        44   -3.9308756566E-02   -1.8920603691E-02    1.3177119589E-01
        45   -3.9306483384E-02   -1.7560580977E-02    1.3162047349E-01
        46   -3.9275273253E-02   -1.7686015939E-02    1.2596533392E-01
        47   -3.9264787695E-02   -1.9803813129E-02    1.3189518814E-01
        48   -3.9262239555E-02   -1.5928688606E-02    1.3146350344E-01
        49   -3.9214957135E-02   -1.4215954470E-02    1.3129922886E-01
        50   -3.9146954112E-02   -1.3602144933E-02    1.3126971765E-01
        51   -3.9145075362E-02   -1.3060815750E-02    1.3121028952E-01
        52   -3.9135805210E-02   -2.1724515155E-02    1.3218404273E-01
        53   -3.9032213125E-02   -1.6253282961E-02    1.2681877155E-01
