nodenumber     x-coordinate     y-coordinate     z-coordinate     x-velocity     y-velocity     z-velocity     velocity-magnitude     pressure
           1   1.6737515331E-02   -1.7855984959E-01   1.1243325134E+00   1.0412368627E-02   1.4378799750E-02   1.1900228633E-01   1.2031920651E-01   1.2823650793E+04
           2   1.6741518806E-02   -1.7808309586E-01   1.1240101472E+00   1.0410986699E-02   1.4402404724E-02   1.1903805158E-01   1.2035728324E-01   1.2827978691E+04
           3   1.6742728624E-02   -1.7820324452E-01   1.1237729012E+00   1.0418287142E-02   1.4403874361E-02   1.1905728588E-01   1.2037711421E-01   1.2827473299E+04
           4   1.6743235601E-02   -1.7850523781E-01   1.1245035725E+00   1.0410611689E-02   1.4384230960E-02   1.1899482877E-01   1.2031232776E-01   1.2823840229E+04
           5   1.6753528666E-02   -1.7829574455E-01   1.1246481907E+00   1.0408345137E-02   1.4399793060E-02   1.1899590597E-01   1.2031505860E-01   1.2825329862E+04
           6   1.6754026433E-02   -1.7846505233E-01   1.1246282329E+00   1.0412237739E-02   1.4395723600E-02   1.1899620635E-01   1.2031520551E-01   1.2824049488E+04
           7   1.6759029771E-02   -1.7874675313E-01   1.1240254535E+00   1.0431284277E-02   1.4402628393E-02   1.1904741496E-01   1.2036832808E-01   1.2822943036E+04
           8   1.6761396535E-02   -1.7827504909E-01   1.1247073259E+00   1.0410297303E-02   1.4408409579E-02   1.1899941724E-01   1.2031973180E-01   1.2825472585E+04
           9   1.6764989073E-02   -1.7847462218E-01   1.1247295851E+00   1.0415351751E-02   1.4406326826E-02   1.1899913759E-01   1.2031964325E-01   1.2823919175E+04
          10   1.6768711900E-02   -1.7854617678E-01   1.1247160190E+00   1.0418656577E-02   1.4408708243E-02   1.1900332211E-01   1.2032435311E-01   1.2823428089E+04
          11   1.6768878118E-02   -1.7853094970E-01   1.1236576380E+00   1.0438298555E-02   1.4425749190E-02   1.1908989201E-01   1.2041371473E-01   1.2825384676E+04
          12   1.6777746917E-02   -1.7810184381E-01   1.1247324801E+00   1.0413685517E-02   1.4431713258E-02   1.1901619677E-01   1.2033941285E-01   1.2826945325E+04
          13   1.6779437370E-02   -1.7863771317E-01   1.1236728095E+00   1.0444759552E-02   1.4434464387E-02   1.1909833356E-01   1.2042366803E-01   1.2824630379E+04
          14   1.6780372668E-02   -1.7847539557E-01   1.1248538061E+00   1.0419825159E-02   1.4421871822E-02   1.1900485505E-01   1.2032754742E-01   1.2823863844E+04
