nodenumber     x-coordinate     y-coordinate     z-coordinate     x-velocity     y-velocity     z-velocity     velocity-magnitude     pressure
           1   2.5204105351E-02   -1.5645167468E-01   2.9642718631E-02   -2.8758697817E-02   -7.1304426966E-02   1.4103442026E-01   1.6063029510E-01   1.2753861273E+04
           2   2.5245555953E-02   -1.5658470696E-01   2.9606645539E-02   -2.8700097302E-02   -7.1117318635E-02   1.4094973547E-01   1.6046244583E-01   1.2753190577E+04
           3   2.5258093539E-02   -1.5648044027E-01   2.9547698083E-02   -2.8695199060E-02   -7.1102509115E-02   1.4094176001E-01   1.6044800082E-01   1.2752969079E+04
           4   2.5273087399E-02   -1.5629598745E-01   2.9791776081E-02   -2.8699153331E-02   -7.1112587377E-02   1.4092876624E-01   1.6044176090E-01   1.2752399737E+04
           5   2.5283719888E-02   -1.5647456446E-01   2.9506506857E-02   -2.8666612356E-02   -7.1011852121E-02   1.4089968692E-01   1.6036576810E-01   1.2752542288E+04
           6   2.5304597988E-02   -1.5644945276E-01   2.9478717717E-02   -2.8645213208E-02   -7.0944004102E-02   1.4086742259E-01   1.6030355799E-01   1.2752183066E+04
           7   2.5308088381E-02   -1.5647315586E-01   2.9463168375E-02   -2.8638809816E-02   -7.0923763373E-02   1.4085926070E-01   1.6028628439E-01   1.2752148592E+04
           8   2.5308720228E-02   -1.5599051916E-01   2.9834286139E-02   -2.8688877429E-02   -7.1079700139E-02   1.4090024623E-01   1.6040029566E-01   1.2751586834E+04
           9   2.5309056108E-02   -1.5701395633E-01   2.9410962145E-02   -2.8584925438E-02   -7.0752480281E-02   1.4079891656E-01   1.6014788895E-01   1.2752523672E+04
          10   2.5350992101E-02   -1.5673060580E-01   2.9621621398E-02   -2.8567406233E-02   -7.0694578954E-02   1.4075101206E-01   1.6007706766E-01   1.2751434113E+04
          11   2.5383203837E-02   -1.5643867673E-01   2.9812795624E-02   -2.8561571453E-02   -7.0673990880E-02   1.4072142003E-01   1.6004091479E-01   1.2750539161E+04
          12   2.5384894414E-02   -1.5666525070E-01   2.9688696753E-02   -2.8535749765E-02   -7.0593401622E-02   1.4069720366E-01   1.5997943769E-01   1.2750769277E+04
          13   2.5421118826E-02   -1.5672191183E-01   2.9690218820E-02   -2.8488157287E-02   -7.0442585560E-02   1.4062766186E-01   1.5984327401E-01   1.2750226824E+04
          14   2.5434014740E-02   -1.5709993209E-01   2.9492325468E-02   -2.8432388685E-02   -7.0268676330E-02   1.4056958607E-01   1.5970565465E-01   1.2750523475E+04
          15   2.5436828986E-02   -1.5646405344E-01   2.9847493534E-02   -2.8497649025E-02   -7.0470815219E-02   1.4062381397E-01   1.5985402357E-01   1.2749646450E+04
          16   2.5449374495E-02   -1.5568614942E-01   3.0290274845E-02   -2.8565611202E-02   -7.0681695619E-02   1.4067478953E-01   1.6000403948E-01   1.2748616187E+04
          17   2.5449953445E-02   -1.5667339913E-01   2.9217808517E-02   -2.8452628310E-02   -7.0336055960E-02   1.4059878451E-01   1.5976461132E-01   1.2750138743E+04
          18   2.5456125288E-02   -1.5572134563E-01   2.9851150243E-02   -2.8548437624E-02   -7.0632341080E-02   1.4067353107E-01   1.5997807112E-01   1.2748863195E+04
          19   2.5478524859E-02   -1.5574464622E-01   2.9658334828E-02   -2.8517710261E-02   -7.0537094924E-02   1.4063807138E-01   1.5989937048E-01   1.2748656522E+04
          20   2.5483781450E-02   -1.5565476128E-01   3.0338972310E-02   -2.8529862956E-02   -7.0567461280E-02   1.4061623729E-01   1.5989573434E-01   1.2747982033E+04
          21   2.5490866200E-02   -1.5564153149E-01   2.9991450593E-02   -2.8518193396E-02   -7.0534637196E-02   1.4061687947E-01   1.5987973352E-01   1.2748125101E+04
          22   2.5512158526E-02   -1.5665188304E-01   2.9125306260E-02   -2.8379831070E-02   -7.0107534654E-02   1.4049544544E-01   1.5956018118E-01   1.2749245687E+04
          23   2.5514521977E-02   -1.5597268504E-01   3.0190634012E-02   -2.8460648345E-02   -7.0349612933E-02   1.4053106567E-01   1.5971241957E-01   1.2747788977E+04
          24   2.5535042047E-02   -1.5684768035E-01   2.9724085206E-02   -2.8340894134E-02   -6.9977480338E-02   1.4041243860E-01   1.5942304397E-01   1.2748592744E+04
          25   2.5535558855E-02   -1.5613762982E-01   3.0118300868E-02   -2.8418318318E-02   -7.0216590398E-02   1.4047772337E-01   1.5959937702E-01   1.2747634015E+04
