nodenumber     x-coordinate     y-coordinate     z-coordinate     x-velocity     y-velocity     z-velocity     velocity-magnitude     pressure
           1   1.0175423464E-03   7.6331984965E-03   4.8175456265E-02   3.4791249655E-03   4.9484946616E-03   1.1728601053E-01   1.1744190128E-01   1.2739402769E+04
           2   1.0261445917E-03   7.3081585201E-03   4.8656536018E-02   3.4956713976E-03   4.9764679243E-03   1.1724104762E-01   1.1739867205E-01   1.2738787575E+04
           3   1.0273552197E-03   7.3034899976E-03   4.8499439417E-02   3.4982245783E-03   4.9811380015E-03   1.1724738656E-01   1.1740527656E-01   1.2738912028E+04
           4   1.0315964300E-03   7.2776135646E-03   4.8790342597E-02   3.4995894337E-03   4.9898814860E-03   1.1721047161E-01   1.1736882336E-01   1.2738643301E+04
           5   1.0338552774E-03   7.6055820153E-03   4.8767662653E-02   3.4860059176E-03   4.9845578348E-03   1.1717620824E-01   1.1733397560E-01   1.2738835667E+04
           6   1.0363689151E-03   7.4058623278E-03   4.8185618232E-02   3.5026424729E-03   5.0031598596E-03   1.1722265230E-01   1.1738164390E-01   1.2739208851E+04
           7   1.0391730219E-03   7.1803454279E-03   4.8736694358E-02   3.5098941379E-03   5.0126542799E-03   1.1718931077E-01   1.1734896939E-01   1.2738614687E+04
           8   1.0415557805E-03   7.9062057195E-03   4.7821109464E-02   3.4863069476E-03   5.0025620384E-03   1.1718618273E-01   1.1734471179E-01   1.2739795603E+04
           9   1.0455511502E-03   7.3523149008E-03   4.8186818056E-02   3.5114745457E-03   5.0279117952E-03   1.1718725993E-01   1.1734762137E-01   1.2739155761E+04
          10   1.0465061277E-03   7.7186786208E-03   4.7818040981E-02   3.4984968061E-03   5.0212997448E-03   1.1718017525E-01   1.1733987558E-01   1.2739674943E+04
          11   1.0495642170E-03   8.0065467766E-03   4.7733196844E-02   3.4879719039E-03   5.0199304299E-03   1.1715012747E-01   1.1730949670E-01   1.2739907472E+04
          12   1.0556511948E-03   8.1682980244E-03   4.8082722009E-02   3.4812721273E-03   5.0261875703E-03   1.1708665531E-01   1.1724617976E-01   1.2739683906E+04
          13   1.0566807151E-03   7.5144960974E-03   4.9027135792E-02   3.5035083988E-03   5.0421170795E-03   1.1706707920E-01   1.1722797681E-01   1.2738512816E+04
          14   1.0595186712E-03   7.1487994463E-03   4.8423600886E-02   3.5284056273E-03   5.0675212734E-03   1.1712612861E-01   1.1728878643E-01   1.2738806364E+04
          15   1.0625409919E-03   7.0910858974E-03   4.8520724024E-02   3.5322762790E-03   5.0761322011E-03   1.1711065417E-01   1.1727382237E-01   1.2738684153E+04
          16   1.0631027407E-03   7.1411035119E-03   4.8410768015E-02   3.5313601814E-03   5.0768502444E-03   1.1711213532E-01   1.1727530496E-01   1.2738804813E+04
          17   1.0696435074E-03   6.9718629327E-03   4.8915093676E-02   3.5390262273E-03   5.0942510351E-03   1.1706112350E-01   1.1722535023E-01   1.2738275460E+04
          18   1.0698142415E-03   7.8953171245E-03   4.8730818486E-02   3.4975342532E-03   5.0644831576E-03   1.1700204301E-01   1.1716381611E-01   1.2738941848E+04
