nodenumber     x-coordinate     y-coordinate     z-coordinate     x-velocity     y-velocity     z-velocity     velocity-magnitude     pressure
           1   -4.2064624527E-02   -1.8684962098E-02   1.3016054752E-01   -9.2447189831E-03   -3.0933171645E-02   1.4167563623E-01   1.4530764550E-01   1.1106824070E+04
           2   -4.1880551021E-02   -1.7908651943E-02   1.3006558898E-01   -9.2498476430E-03   -3.0951528292E-02   1.4169155606E-01   1.4532740225E-01   1.1099046160E+04
           3   -4.1818500180E-02   -1.8070565459E-02   1.3023336687E-01   -9.2484372615E-03   -3.0944199843E-02   1.4168320773E-01   1.4531761232E-01   1.1098715896E+04
           4   -4.1686758610E-02   -1.9023551743E-02   1.2945363208E-01   -9.2490448963E-03   -3.0913344046E-02   1.4166528368E-01   1.4529360713E-01   1.1107809517E+04
           5   -4.1651085192E-02   -1.9971020618E-02   1.2993313608E-01   -9.2408427567E-03   -3.0880004207E-02   1.4163311775E-01   1.4525463118E-01   1.1112232219E+04
           6   -4.1634353774E-02   -1.9734429688E-02   1.3052521178E-01   -9.2386612180E-03   -3.0884893349E-02   1.4163050761E-01   1.4525298683E-01   1.1107543892E+04
           7   -4.1436442131E-02   -1.8074700442E-02   1.2924886694E-01   -9.2556415422E-03   -3.0934239994E-02   1.4168409850E-01   1.4531681896E-01   1.1098237480E+04
           8   -4.1412079241E-02   -1.6902950473E-02   1.3033649359E-01   -9.2549818776E-03   -3.0965769429E-02   1.4169763605E-01   1.4533669058E-01   1.1083860765E+04
           9   -4.1292971835E-02   -1.8168851316E-02   1.2896254774E-01   -9.2567750504E-03   -3.0926206329E-02   1.4168070116E-01   1.4531186877E-01   1.1098316081E+04
          10   -4.1234027971E-02   -2.0302302260E-02   1.2960805683E-01   -9.2395197111E-03   -3.0851019336E-02   1.4161503316E-01   1.4523075341E-01   1.1110542464E+04
          11   -4.1233350627E-02   -1.7096200436E-02   1.2952287460E-01   -9.2593449550E-03   -3.0955796423E-02   1.4169752212E-01   1.4533473286E-01   1.1086672831E+04
          12   -4.1151476337E-02   -1.7639935108E-02   1.2902508111E-01   -9.2592576191E-03   -3.0936671407E-02   1.4168788943E-01   1.4532126307E-01   1.1092022719E+04
          13   -4.1136626147E-02   -1.9630583918E-02   1.3079974071E-01   -9.2370705902E-03   -3.0865526244E-02   1.4161152189E-01   1.4523025620E-01   1.1098694867E+04
          14   -4.0873686342E-02   -1.5759965525E-02   1.3015729161E-01   -9.2627882184E-03   -3.0980326334E-02   1.4170687515E-01   1.4534929766E-01   1.1068175408E+04
          15   -4.0847819659E-02   -1.9903044285E-02   1.2829214271E-01   -9.2465010066E-03   -3.0846882775E-02   1.4162995865E-01   1.4524487304E-01   1.1108145555E+04
          16   -4.0774916201E-02   -1.9972566806E-02   1.2822117064E-01   -9.2455886254E-03   -3.0840172705E-02   1.4162640594E-01   1.4523992572E-01   1.1107921989E+04
          17   -4.0731953866E-02   -1.5498906479E-02   1.3057054580E-01   -9.2618814118E-03   -3.0981105229E-02   1.4170084695E-01   1.4534352877E-01   1.1062098975E+04
          18   -4.0727438291E-02   -2.0909312198E-02   1.2998123394E-01   -9.2289018984E-03   -3.0799907021E-02   1.4157445157E-01   1.4517965505E-01   1.1106023578E+04
          19   -4.0657764217E-02   -1.5956989809E-02   1.3066439595E-01   -9.2589918951E-03   -3.0963095927E-02   1.4168473032E-01   1.4532379381E-01   1.1064165276E+04
          20   -4.0610576667E-02   -2.0608857745E-02   1.2889477816E-01   -9.2353090070E-03   -3.0805488221E-02   1.4159347872E-01   1.4519980115E-01   1.1107070906E+04
          21   -4.0487329746E-02   -2.0729472458E-02   1.2887545359E-01   -9.2327000799E-03   -3.0792749613E-02   1.4158550327E-01   1.4518915564E-01   1.1106185607E+04
          22   -4.0386630271E-02   -1.9591156217E-02   1.3122649673E-01   -9.2299183394E-03   -3.0823323850E-02   1.4157358152E-01   1.4518384094E-01   1.1085332213E+04
          23   -4.0382292112E-02   -2.1149560637E-02   1.2995261053E-01   -9.2224762078E-03   -3.0767869726E-02   1.4155375683E-01   1.4515227159E-01   1.1102691123E+04
